id;COT Carbone Organique Total;Antimoine (Sb);Arsenic (As);Baryum (Ba);Cadmium (Cd);Chrome (Cr);test;Cuivre (Cu);Mercure (Hg);Molybdene (Mo);Nickel (Ni);Plomb (Pb);Selenium (Se);Zinc (Zn);Benzo(a)pyrene;HAP (EPA) - somme;BTEX total;Hydrocarbures totaux C10-C40;Somme 6 PCB;Somme 7 PCB (Ballschmiter);ctx_lith;g_MC;g_SB;g_SO;g_TB;g_MA;g_MPH;g_MFL;g_GV;Cyanures totaux cumule ;Soufre (S);Temperature;PH;Sulfate mg/l;Chlorure mg/l;Fluorures mg/l;Antimoine cumule (var. L/S);Arsenic cumule (var. L/S);Baryum cumule (var. L/S);Cadmium cumule (var. L/S);Chrome cumule (var. L/S);Cuivre cumule (var. L/S);Mercure cumule  (var. L/S);Molybdene cumule (var. L/S);Nickel cumule (var. L/S);Plomb cumule (var. L/S);Selenium cumule (var. L/S);Zinc cumule (var. L/S);COT cumule (var. L/S);Fluorures cumule  (var. L/S);Chlorures cumule  (var. L/S );Fraction soluble cumule  (var. L/S);Indice  phenol cumule (var. L/S);Sulfates cumule (var. L/S);che_lixi-tps;che_conduc;ch_ph;che_sulfates;ch_chlorure;che_fluorures;che_conduc_new;ch_ph_new;che_sulfates_new;ch_chlorure_new;che_fluorures_new;S_ XRF;Zn_ XRF;Cl_ XRF;Pb_ XRF;Cu_ XRF;Cr_ XRF;Ba_ XRF;As_ XRF;Sb_ XRF;Ni_ XRF;Mo_ XRF;Se_ XRF;Filiere d'evacuation resultats bruts;Filiere d'evacuation resultats lixiviation;Filiere d'evacuation finale;elements_declassant
056-L16-2-SC01-CMF10M;1000;<0.5;12;52;0.1;42;86;59;<0.05;<1.0;34;18;<1.0;70;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;TB;0;0;0;1;0;0;0;0;0 - 0.01;1100;18.8;7.45;45;9.12;1.09;0 - 0.05;0 - 0.05;0.16;0 - 0.001;0 - 0.02;0.03;0 - 0.0003;0.07;0 - 0.05;0 - 0.05;0.08;0 - 0.02;15;12;16;1300;0 - 0.1;470;10;298;7.45;45;9.12;1.09;546;7.36;113;2.58;1.06;0.001;46.57;562.1;10.45;705.4;4071;108.9;7.782;0.2;21.41;0.9393;7.531;TN+;ISDI+;TN+;Nickel (Ni)
058-L16-2-SC09-CMF-20-30M;1500;<0.5;6.9;100;<0.1;24;209.5;10;<0.05;<1.0;16;6.5;<1.0;31;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;4100;18.8;7.5;75;1.72;1.14;0 - 0.05;0 - 0.05;0.53;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;10;11;7;2900;0 - 0.1;1500;10;762;7.5;75;1.72;1.14;811;7.22;131;1.63;0.867;3381;29.74;596.6;9.454;23.4;27.49;17.06;3.36;0.549;24.99;0.001;3.173;ISDI;ISDI+;ISDI+;Fluorures cumule  (var. L/S)!Sulfates cumule (var. L/S)
059-L16-2-SC12-CMF-27M;8900;<0.5;10;320;<0.1;13;649;9.3;<0.05;4.1;14;6;<1.0;22;<0.050;n.a.;n.a.;71.2;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;5600;20;7.13;99;14.3;0.172;0 - 0.05;0 - 0.05;0.4;0 - 0.001;0 - 0.02;0 - 0.02;0.0004;0.17;0.07;0 - 0.05;0 - 0.05;0 - 0.02;82;7;280;13000;0 - 0.1;7000;10;2480;7.13;99;14.3;0.172;2510;7.05;98;8.22;0.704;13230;26.16;539;7.019;5.066;6.67;303.6;5.412;1.51;15.28;1.536;0.0456;TN+;SEMPIN;TN+;Molybdene (Mo)
060-L16-2SC01-CMF-22M;<1000;0.6;8.1;220;<0.1;11;445.9;0.9;<0.05;4.2;3.7;2;<1.0;6.8;<0.050;n.a.;n.a.;38.9;0.003;0.003;MA;0;0;0;0;1;0;0;0;0 - 0.01;6600;19.3;7.14;80;6.8;1.07;0 - 0.05;0 - 0.05;2;0.001;0 - 0.02;0 - 0.02;0 - 0.0003;1.5;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;11;5;150;3000;0 - 0.1;1400;10;1198;7.14;80;6.8;1.07;1466;7.57;148;3.39;0.599;0.001;2.101;602.6;1.362;2.867;3.148;113.1;0.778;0.791;0.8039;0.001;4.773;TN+;ISDI+;TN+;Molybdene (Mo)
062-L16-2-SC01-502P-41-42m;;<0.5;<1.0;25;<0.1;2.1;48.3;0.5;<0.05;<1.0;2;1.2;<1.0;3.9;<0.050;n.a.;n.a.;39.7;n.a.;n.a.;MC;1;0;0;0;0;0;0;0;27000;67000;20.7;5.1;69;4.78;0.25;0 - 0.05;0 - 0.05;0.71;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.05;0 - 0.05;0 - 0.05;14000;0 - 0.02;8.4;0 - 10;2;19;0 - 0.1;0 - 0.0003;0 - 0.05;10;2110;5.1;69;4.78;0.25;2360;7.26;154;3.44;0.24;381400;5.024;500.5;2.167;3.813;1.049;133.4;0.608;0.7701;0.359;11.53;1.414;ISDI;HC;HC;Plomb cumule (var. L/S)
064-calcaire de st ouen 603P-Te01-41-42m;4200;;1.8;<1.0;62;<0.1;0.001;3.2;2.5;<0.05;<1.0;2.5;17000;<1.0;<0.050;n.a.;n.a.;<20.0;<2.0;n.a.;SO;0;0;1;0;0;0;0;0;0 - 0.01;1.2;8.3;7.08;81;4.77;0.597;0 - 0.05;0 - 0.05;0.25;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.15;0 - 0.05;0 - 0.05;0.06;0 - 0.02;27;9;17;27000;0 - 0.1;17000;10;2830;7.08;81;4.77;0.597;3090;7.24;127;4.27;0.796;13950;4.237;460.9;1.789;3.477;1.771;160.7;1.918;1.47;1.706;1.072;0.8097;TN+;SEMPIN;TN+;Cadmium (Cd)!Mercure (Hg)!Selenium (Se)
065-L16-2-503P-SC02-23M;<1000;<0.5;3.2;7.4;<0.1;9.6;23.1;0.7;<0.05;2.4;2.9;1.4;<1.0;4.4;<0.050;0.114;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;12500;19.5;7.37;87;4.81;0.567;0 - 0.05;0 - 0.05;0.24;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.54;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;14;4;51;1500;0 - 0.1;980;10;764;7.37;87;4.81;0.567;948;7.41;137;3.65;0.579;7285;5.059;779.5;2.241;0.261;4.265;151.5;4.782;0.3359;1.387;4.687;7.789;ISDI;ISDI+;ISDI+;Molybdene cumule (var. L/S)
066-L16-2-302P-X1;2100;0.9;<1.0;38;<0.1;2;81.7;1.7;<0.05;<1.0;3.1;1;<1.0;3.4;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;1600;19.7;7.81;31;6.55;0.428;0 - 0.05;0 - 0.05;0.48;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;0 - 10;5;24;1000;0 - 0.1;310;10;292;7.81;31;6.55;0.428;364;7.57;64;4;0.387;0.001;12.25;1128;1.801;58.14;96.66;0.001;1.728;0.001;1.692;0.001;1.16;ISDI;ISDI;ISDI; 
067-SE-04SEB-TE-27.24-26;1200;0.8;2.4;24;<0.1;6.1;57.8;1.9;<0.05;1.3;4.2;1.3;<1.0;5.4;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MC;1;0;0;0;0;0;0;0;0 - 0.01;4200;19.4;7.25;112;4.19;0.569;0 - 0.05;0 - 0.05;0.34;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.21;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;28;6;25;12000;0 - 0.1;7300;10;2177;7.25;112;4.19;0.569;2760;7.14;143;2.91;0.583;0.001;6.139;809.5;2.42;0.001;3.285;14.61;1.501;0.7929;2.531;1.781;0.001;ISDI;ISDI+;ISDI+;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
068-MA-504P-TE01-90.16-90.8;2100;<0.5;5.6;110;<0.1;20;235;9.1;<0.05;<1.0;13;4.4;<1.0;24;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;3200;19.5;7.23;108;6.72;1.52;0 - 0.05;0 - 0.05;0.28;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;110;23;20;3400;0 - 0.1;1800;10;1557;7.23;108;6.72;1.52;1239;7.12;134;1.67;1.89;0.001;24.85;515.6;6.302;19.41;44.99;136.2;4.256;0.625;17.99;0.881;0.001;ISDI;ISDI+;ISDI+;Fluorures cumule  (var. L/S)!Sulfates cumule (var. L/S)
069-L16-2-503P-17M;<1000;1;<1.0;16;<0.1;1;27.7;0.5;<0.05;<1.0;0.8;0.9;<1.0;2.4;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MFL;0;0;0;0;0;0;1;0;0 - 0.01;16000;19.8;6.95;117;4.19;0.321;0 - 0.05;0 - 0.05;0.9;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;0 - 10;3;11;24000;0 - 0.1;12000;10;2300;6.95;117;4.19;0.321;2380;6.97;101;6.48;0.384;357400;7.514;556.6;2.739;4.95;2.215;755.1;1.363;0.3334;1.458;1.298;1.081;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
070-L16.25SEL43.22-41.22;3600;1.1;2.8;41;<0.1;3.2;50.7;11;<0.05;<1.0;2.9;2.6;<1.0;18;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;1100;19.5;7.69;97;15.9;1.09;0 - 0.05;0 - 0.05;0.4;0 - 0.001;0 - 0.02;0.04;0 - 0.0003;0.31;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;47;15;75;7600;0 - 0.1;4600;10;1465;7.69;97;15.9;1.09;1465;7.69;97;15.9;1.09;0.001;15.58;716;3.11;7.309;5.893;61.62;2.39;0.2018;5.493;0.3955;0.557;ISDI;ISDI+;ISDI+;Fluorures cumule  (var. L/S)!Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
071- L16-2-302P-SC01-13M;2900;0.6;1.5;160;<0.1;8.1;328.6;4;<0.05;<1.0;6.6;1.7;<1.0;12;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;2700;19.8;7.23;43;17.5;0.848;0 - 0.05;0 - 0.05;0.54;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;0 - 10;8;60;1300;0 - 0.1;460;10;447;7.23;43;17.5;0.848;507;7.33;87;9.49;0.649;0.001;11.78;610.7;2.226;494;641.3;106.4;2.753;0.6437;4;0.2504;0.001;ISDI;ISDI;ISDI; 
072-L16-2-SC01-401P-13M;2500;0.6;3.3;9.3;<0.1;17;37.6;4.6;<0.05;2.1;7;2.2;<1.0;11;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;GV;0;0;0;0;0;0;0;1;0 - 0.01;2250;20.2;7.48;103;12.8;1.39;0 - 0.05;0 - 0.05;0.13;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.39;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;74;9;34;2500;0 - 0.1;1500;10;884;7.48;103;12.8;1.39;902;7.37;143;1.57;1.03;3967;19.02;361.2;4.244;3.272;0.001;16.65;2.067;0.7832;7.632;0.7913;1.046;ISDI;ISDI;ISDI; 
073-L16-2-303P-SC01-16M;2600;<0.5;<1.0;31;<0.1;1.2;61.6;0.4;<0.05;<1.0;1.2;0.6;<1.0;2.3;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;1900;19.4;7.68;36;6.83;1.45;0 - 0.05;0 - 0.05;0.52;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.19;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;0 - 10;17;21;1100;0 - 0.1;450;10;275;7.68;36;6.83;1.45;463;7.33;78;3.62;1.43;0.001;11.34;987.6;1.973;184.4;59.74;32.26;1.953;0.001;1.504;0.001;0.687;ISDI;ISDI+;ISDI+;Fluorures cumule  (var. L/S)
074-L16-2-SC01-AUL--19M;2600;1.2;<1.0;110;<0.1;6.2;207.7;12;<0.05;<1.0;3.1;2;<1.0;12;<0.050;n.a.;n.a.;31.7;n.a.;n.a.;SB;0;1;0;0;0;0;0;0;0 - 0.01;2900;19;6.89;39;5.6;1.27;0 - 0.05;0 - 0.05;1.4;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;21;12;17;1000;0 - 0.1;290;10;732;6.89;39;5.6;1.27;450;7.37;61;4.56;1.19;0.001;13.32;641.5;2.56;9.18;7.239;253.6;2.607;0.3384;5.052;0.001;0.001;ISDI;ISDI+;ISDI+;Fluorures cumule  (var. L/S)
075-L16-2-303P-31M;1900;1;6.7;8.6;<0.2;12;32.9;1.3;<0.05;3.9;6.4;2.1;<2.0;8.9;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;SB;0;1;0;0;0;0;0;0;0 - 0.01;5300;19.7;7.28;95;3.99;1.63;0 - 0.05;0 - 0.05;0.19;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;1.3;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;14;10;170;6600;0 - 0.1;3900;10;1587;7.28;95;3.99;1.63;1837;7.25;127;2.97;1.15;0.001;14.79;438.6;2.798;1.185;2.069;23.05;2.468;0.498;3.62;1.254;0.7016;TN+;ISDI+;TN+;Molybdene (Mo)
076-SB-603P-TE01-20.489-19.489;1400;<0.5;6.5;9.1;<0.1;22;29.7;3.7;<0.05;2.7;6.8;3.3;<1.0;14;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;SB;0;1;0;0;0;0;0;0;0 - 0.01;3300;19.2;7.3;100;6.38;1.22;0 - 0.05;0 - 0.05;0.1;0 - 0.001;0 - 0.02;0.03;0 - 0.0003;0.36;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;42;10;55;8400;0 - 0.1;5400;10;1938;7.3;100;6.38;1.22;2097;7.18;136;2.99;1.34;12120;14.04;306.7;2.901;0.001;5.668;52.74;2.831;0.3327;2.512;2.82;1.047;ISDI;ISDI+;ISDI+;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
