id;COT Carbone Organique Total;Antimoine (Sb);Arsenic (As);Baryum (Ba);Cadmium (Cd);Chrome (Cr);test;Cuivre (Cu);Mercure (Hg);Molybdene (Mo);Nickel (Ni);Plomb (Pb);Selenium (Se);Zinc (Zn);Benzo(a)pyrene;HAP (EPA) - somme;BTEX total;Hydrocarbures totaux C10-C40;Somme 6 PCB;Somme 7 PCB (Ballschmiter);ctx_lith;g_MC;g_SB;g_SO;g_TB;g_MA;g_MPH;g_MFL;g_GV;Cyanures totaux cumule ;Soufre (S);Temperature;PH;Sulfate mg/l;Chlorure mg/l;Fluorures mg/l;Antimoine cumule (var. L/S);Arsenic cumule (var. L/S);Baryum cumule (var. L/S);Cadmium cumule (var. L/S);Chrome cumule (var. L/S);Cuivre cumule (var. L/S);Mercure cumule  (var. L/S);Molybdene cumule (var. L/S);Nickel cumule (var. L/S);Plomb cumule (var. L/S);Selenium cumule (var. L/S);Zinc cumule (var. L/S);COT cumule (var. L/S);Fluorures cumule  (var. L/S);Chlorures cumule  (var. L/S );Fraction soluble cumule  (var. L/S);Indice  phenol cumule (var. L/S);Sulfates cumule (var. L/S);che_lixi-tps;che_conduc;ch_ph;che_sulfates;ch_chlorure;che_fluorures;che_conduc_new;ch_ph_new;che_sulfates_new;ch_chlorure_new;che_fluorures_new;S_ XRF;Zn_ XRF;Cl_ XRF;Pb_ XRF;Cu_ XRF;Cr_ XRF;Ba_ XRF;As_ XRF;Sb_ XRF;Ni_ XRF;Mo_ XRF;Se_ XRF;Filiere d'evacuation resultats bruts;Filiere d'evacuation resultats lixiviation;Filiere d'evacuation finale;elements_declassant
003-L16-2-SC01-CMF-11m;<1000;<0.5;6.5;140;<0.1;49;326.5;8.6;<0.05;<1.0;36;8.9;<1.0;69;<0.050;0.37;n.a.;<20.0;n.a.;n.a.;TB;0;0;0;1;0;0;0;0;0 - 0.01;3600;19.6;7.66;72;9.67;0.887;0 - 0.05;0 - 0.05;1;0 - 0.001;0.02;0.08;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;1.3;0 - 0.02;25;17;12;0 - 1000;0 - 0.1;130;10;615;7.66;72;9.67;0.887;711;7.38;125;3.3;0.904;0.001;24.01;534.2;6.059;9.99;9.463;72.29;4.291;0.3527;15.24;0.161;1.251;TN+;TN+;TN+;Selenium cumule (var. L/S)
004-L16-2-SC08-CMF-9M;2300;1.2;<1.0;12;0.1;8;23.6;4.2;<0.05;<1.0;3.9;1.9;<1.0;9.2;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;TB;0;0;0;1;0;0;0;0;0 - 0.01;2100;19.4;7.38;38;4.77;0.376;0 - 0.05;0 - 0.05;0 - 0.1;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;12;4;15;0 - 1000;0 - 0.1;120;10;294;7.38;38;4.77;0.376;351;7.59;41;2.04;0.35;0.001;17.15;466.1;1.997;2.493;1.997;2.494;3.61;1.195;6.354;0.396;0.9743;ISDI;ISDI;ISDI; 
005-L16-2-SC07-CMF-9.5-10m;1200;<0.5;4;18;<0.1;5.2;22.2;6;<0.05;<1.0;4.5;3.5;1.7;12;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;TB;0;0;0;1;0;0;0;0;0 - 0.01;1500;20;7.74;30;5.1;0.541;0 - 0.05;0 - 0.05;0 - 0.1;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;0 - 10;5;35;1100;0 - 0.1;130;10;174;7.74;30;5.1;0.541;307;7.57;32;4.13;0.437;52450.0;26.54;438.7;1034;17.4;16.55;72.13;6.344;0.511;17.8;0.001;0.512;ISDI;ISDI;ISDI; 
006-L16-2-SC12-CMF-24M;8900;<0.5;10;320;<0.1;13;649;9.3;<0.05;4.1;14;6;<1.0;22;<0.050;n.a.;n.a.;71.2;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;25000;20;7.07;102;8.05;1.2;0 - 0.05;0 - 0.05;0.4;0 - 0.001;0 - 0.02;0 - 0.02;0.0004;0.17;0.07;0 - 0.05;0 - 0.05;0 - 0.02;82;7;280;13000;0 - 0.1;7000;10;3640;7.07;102;8.05;1.2;2960;7.64;131;4.06;0.511;48520;27.83;319.5;10.19;17.15;15.74;104.7;10.03;0.5;20.61;1.85;0.515;TN+;SEMPIN;TN+;Molybdene (Mo)
"007-L16-2-SC06-CMF-32;4M";3400;0.6;11;160;0.2;17;318.5;11;<0.05;2.6;15;9.1;<1.0;24;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;12000;19.5;7.22;105;7.41;1.8;0 - 0.05;0 - 0.05;0.34;0 - 0.001;0 - 0.02;0.03;0 - 0.0003;0.16;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;170;14;66;17000;0 - 0.1;8300;10;1834;7.22;105;7.41;1.8;2870;7.08;163;6.4;1.86;23460;21.26;472.3;6.076;8.72;7.57;174.5;7.27;0.7612;18.46;2.17;0.355;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
008-L16-2-SC06-CMF-33M;3800;0.8;8.7;250;<0.1;12;516;11;<0.05;<1.0;18;6.8;<1.0;26;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;14000;19.4;7.2;118;10.7;1.89;0 - 0.05;0 - 0.05;0.25;0 - 0.001;0 - 0.02;0 - 0.02;0.0007;0.06;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;51;16;300;18000;0 - 0.1;11000;10;2500;7.2;118;10.7;1.89;2520;7.13;176;11.3;1.69;10540;22.76;451.6;5.874;8.702;10.24;206.9;7.789;0.578;26.55;1.31;0.1881;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
009-L16-2-SC06-CMF-37M;1200;1.4;2.8;13;<0.1;4.1;16.4;4.8;<0.05;<1.0;4;3.5;<1.0;8.1;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;2000;19.6;7.42;56;20.7;2;0 - 0.05;0 - 0.05;0 - 0.1;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;0 - 10;5;43;0 - 1000;0 - 0.1;140;10;549;7.42;56;20.7;2;368;7.3;53;6.85;0.522;0.001;17.78;619.1;3.698;7.0796;5.588;331.4;3.22;0.698298;0.001;1.31;2.092;ISDI;ISDI;ISDI; 
"010-L16-2-SC06-CMF-30;9m";2900;<0.5;7;140;0.1;18;289;9.6;<0.05;<1.0;17;7.2;<1.0;29;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;11000;19.5;7.19;121;5.74;1.69;0 - 0.05;0 - 0.05;0.35;0 - 0.001;0 - 0.02;0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0.08;91;14;120;9400;0 - 0.1;5600;10;1888;7.19;121;5.74;1.69;2077;7.08;171;4.36;1.37;8189;25.74;430.5;6.354;9.118;11.12;144.2;6.483;0.6497;17.06;1.535;0.8003;ISDI;ISDI+;ISDI+;Fluorures cumule  (var. L/S)!Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
011-L16-SC13-CMF-18M;3400;<0.5;11;130;0.2;21;277;17;<0.05;5.1;24;10;<1.0;37;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;25000;19;7.13;112;8.14;0.938;0 - 0.05;0 - 0.05;0.38;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.18;0.06;0 - 0.05;0 - 0.05;0 - 0.02;31;7;550;17000;0 - 0.1;10000;10;2580;7.13;112;8.14;0.938;2510;7.02;149;4.67;0.7;57220;23.21;405;9.468;15.78;15.06;150.8;8.2;0.473;14.5;3.338;1.586;TN+;SEMPIN;TN+;Molybdene (Mo)
012-L16-2-SC16-CMF-15M;1300;0.6;17;58;0.2;36;100;51;<0.05;<1.0;33;15;16;71;<0.050;0.069;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;4900;19.8;7.55;87;3.98;1.39;0 - 0.05;0 - 0.05;0.64;0 - 0.001;0 - 0.02;0.03;0 - 0.0003;0.1;0 - 0.05;0 - 0.05;5.4;0 - 0.02;54;12;23;4700;0 - 0.1;2200;10;862;7.55;87;3.98;1.39;1061;7.35;152;3.73;1.25;4402;53.48;463.3;12.99;49.34;86.74;54.12;13.82;0.3887;26.48;1.807;13.33;TN+;ISDD;ISDD;Selenium cumule (var. L/S)
"013-L16-504P-32;5-33;5";1100;<0.5;1.1;90;<0.1;8;174.5;4.5;<0.05;<1.0;6.2;2.9;<1.0;15;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;150000;19.7;6.52;102;5.23;1.03;0 - 0.05;0 - 0.05;0.35;0.002;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0.04;23;5;20;25000;0 - 0.1;16000;10;2470;6.52;102;5.23;1.03;2460;7.24;152;4.13;1.2;277100;3.623;519.3;2.182;5.24;3.086;0.001;1.736;0.8878;2.908;0.422;0.994;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
014-L16-2-474-30-74;6400;0.9;3.2;160;0.1;8.8;330.5;4.4;<0.05;5.7;5.2;2.1;<1.0;6.9;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;4000;19.5;7.43;65;4.06;0.912;0 - 0.05;0 - 0.05;0.31;0.003;0 - 0.02;0 - 0.02;0 - 0.0003;1.8;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;49;13;50;6000;0 - 0.1;3700;10;1222;7.43;65;4.06;0.912;1441;7.36;165;3.68;1.17;0.001;8.562;472.7;2.085;1.011;0.001;129.9;3.177;0.789;4.6132;2.596;0.8272;TN+;SEMPIN;TN+;Molybdene (Mo)
015-L16-2-303P-SC01-37M;3000;1.2;3.2;4.4;<0.1;3.4;12.7;1.5;<0.05;2.6;3;0.9;<1.0;5;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MC;1;0;0;0;0;0;0;0;0 - 0.01;3100;19.4;7.64;66;7.23;1.35;0 - 0.05;0 - 0.05;0 - 0.1;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;1.2;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;21;16;76;1700;0 - 0.1;830;10;722;7.64;66;7.23;1.35;862;7.49;140;5.47;1.42;0.001;14.16;402.1;2.21;0.5236;0.736;129.4;3.189;1.021;4.998;1.868;1.114;ISDI;ISDI+;ISDI+;Molybdene cumule (var. L/S)!Fluorures cumule  (var. L/S)
016-45EB-TE09 25.24-24.24;1600;<0.5;3.8;13;<0.1;16;39;1.9;<0.05;1.5;6.9;2.7;<1.0;12;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MC;1;0;0;0;0;0;0;0;0 - 0.01;5000;19.6;7.06;125;7.51;1.11;0 - 0.05;0 - 0.05;0.24;0 - 0.001;0 - 0.02;0.03;0.0004;0.18;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;60;10;31;6500;0 - 0.1;4100;10;1523;7.06;125;7.51;1.11;1635;7.38;177;2.79;0.978;5059;13.41;461.1;2.792;2.307;3.412;57.72;4.39;0.7012;8.915;1.21;0.0001;ISDI;ISDI+;ISDI+;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
"017-L16-504P-32;5-33;5-MA";1100;<0.5;1.1;90;<0.1;8;174.5;4.5;<0.05;<1.0;6.2;2.9;<1.0;15;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MC;1;0;0;0;0;0;0;0;0 - 0.01;64000;19.7;7.11;83;7.63;0.245;0 - 0.05;0 - 0.05;0.35;0.002;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0.04;23;5;20;25000;0 - 0.1;16000;10;2370;7.11;83;7.63;0.245;2330;7.04;178;5.18;0.315;156100;6.356;523;2.162;3.114;2.346;998.8;0.3921;0.8021;1.085;0.001;0.1523;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
018-L16-2-SC01-503P-32M;3200;<0.5;7.9;150;<0.1;23;322;12;<0.05;<1.0;18;6.2;<1.0;30;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MFL;0;0;0;0;0;0;1;0;0 - 0.01;3900;19.7;7.23;55;4.81;1.97;0 - 0.05;0 - 0.05;0.47;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.09;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;14;15;68;26000;0 - 0.1;16000;10;2340;7.23;55;4.81;1.97;2740;7.31;160;3.06;1.69;5576;12.32;588.9;4.228;11;12.8;117.7;4.804;0.6508;14.43;0.9927;0.5515;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
019-L16-2-503P-26m;1200;0.8;2.4;24;<0.1;6.1;57.8;1.9;<0.05;1.3;4.2;1.3;<1.0;5.4;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MFL;0;0;0;0;0;0;1;0;0 - 0.01;210000;19.4;6.77;97;4.28;0.142;0 - 0.05;0 - 0.05;0.34;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.21;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;28;6;25;12000;0 - 0.1;7300;10;2490;6.77;97;4.28;0.142;2360;7.41;142;4.3;0.187;664900;0.2345;488;2.102;3.409;2.681;2353;0.7175;0.9149;0.001;0.001;2.038;ISDI;ISDI+;ISDI+;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
020-L16-2-504P-24m;1100;0.9;<1.0;22;<0.1;1.2;39.5;0.6;<0.05;<1.0;0.9;0.8;<1.0;3.1;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MFL;0;0;0;0;0;0;1;0;0.02;88000;19.7;6.98;113;3.47;0.149;0 - 0.05;0 - 0.05;0.77;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;0 - 10;1;12;23000;0 - 0.1;13000;10;2420;6.98;113;3.47;0.149;2300;7.43;170;4.71;0.182;524900;0.2654;458.5;2.093;2.916;2.644;1241;0.5137;0.8176;0.001;0.001;0.694;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
021-L16-2-503P-20m;1700;0.6;9.3;37;0.2;19;92.5;4.1;<0.05;4.6;9;3.5;<1.0;14;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MFL;0;0;0;0;0;0;1;0;0 - 0.01;4400;19.8;6.89;105;3.42;0.79;0 - 0.05;0 - 0.05;0.75;0 - 0.001;0 - 0.02;0 - 0.02;0.0003;1.7;0 - 0.05;0 - 0.05;0.17;0 - 0.02;31;6;200;2300;0 - 0.1;1000;10;1302;6.89;105;3.42;0.79;1574;7.68;178;3.02;0.829;1800;10.13;559.6;2.426;3.496;5.392;38.78;2.9362;0.589;5.07;2.185;0.842;TN+;SEMPIN;TN+;Molybdene (Mo)
022-MFL-0504P-TE01  83.66-82.36;2300;0.6;6.8;130;<0.1;17;273;9.1;<0.05;<1.0;14;5.2;<1.0;24;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MFL;0;0;0;0;0;0;1;0;0 - 0.01;35000;19.7;6.96;83;7.94;1.69;0 - 0.05;0 - 0.05;0.44;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.08;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;32;16;12;28000;0 - 0.1;19000;10;2870;6.96;83;7.94;1.69;2410;7.09;148;4.92;1.44;27830;7.812;577.5;3.03;7.912;6.861;119.5;2.7889;0.612;10.76;1.079;0.147;ISDI;ISDND;ISDND;Sulfates cumule (var. L/S)
023-L16-2-302P (8-9m);2300;0.6;6.8;130;<0.1;17;273;9.1;<0.05;<1.0;14;5.2;<1.0;24;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;8200;19.7;7.1;36;10.4;0.361;0 - 0.05;0 - 0.05;0.44;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.08;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;32;16;12;28000;0 - 0.1;19000;10;275;7.1;36;10.4;0.361;417;7.52;69;8.85;0.379;9406;7.409;472.9;2.56;4.38;5.029;0.001;3.741;0.7015;5.529;0.442;1.125;ISDI;ISDND;ISDND;Sulfates cumule (var. L/S)
024-L16-2-303P-SC01 (23m);<1000;0.5;7.8;26;<0.1;16;61.2;1.8;<0.05;6.6;4.7;2.7;<1.0;8.4;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;4100;18.8;7.3;8.9;8.6;0.63;0 - 0.05;0.05;0.45;0.002;0 - 0.02;0 - 0.02;0 - 0.0003;2.8;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;30;6;55;2600;0 - 0.1;1500;10;1247;7.3;8.9;8.6;0.63;778;7.45;137;3.4;0.626;3701;14.11;516.1;1.178;6.856;67.29;2.978;0.725;0.725;5.253;3.476;1.128;TN+;SEMPIN;TN+;Molybdene (Mo)
025-L16-2-0303P-SC01-9m;2300;1;1;83;<0.1;1.4;166.9;1;<0.05;<1.0;1.4;0.5;<1.0;2.5;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;1000;19.2;7.44;38;9.26;1.48;0 - 0.05;0 - 0.05;0.94;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.31;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;12;23;40;0 - 1000;0 - 0.1;380;10;509;7.44;38;9.26;1.48;399;7.68;55;2.86;1.18;0.001;24.1;600.6;2.845;13.44;13.14;42.21;3.723;0.498;11.46;0.3425;2.733;ISDI;ISDI+;ISDI+;Fluorures cumule  (var. L/S)
026-L16-2-SC01-303P-17M;2700;<0.5;8.7;170;<0.1;19;356.5;11;<0.05;<1.0;15;5.5;<1.0;25;<0.050;0.066;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;16600;19.2;7.77;42;7.84;0.521;0 - 0.05;0 - 0.05;0.43;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.08;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;13;12;20;25000;0 - 0.1;16000;10;278;7.77;42;7.84;0.521;2650;7.24;124;2.19;0.821;3760;4.14;536.1;4.023;12.88;7.398;22.1;2.56;0.705;8.511;0.001;1.008;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
027-L16-2-303P-15m;2100;<0.5;15;220;<0.1;13;455.5;16;<0.05;2.7;13;4.1;<1.0;21;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0.01;17200;19.6;7.47;73;5.77;0.877;0 - 0.05;0 - 0.05;0.52;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.49;0 - 0.05;0 - 0.05;0.06;0 - 0.02;0 - 10;7;31;2800;0 - 0.1;1400;10;547;7.47;73;5.77;0.877;828;7.46;137;3.6;0.574;0.001;23.63;508.1;3.7789;13.75;14.38;1428;8.428;0.4211;11.59;2.072;1.322;ISDI;ISDI;ISDI; 
028-L16-2-302P13-14m;<1000;<0.5;5.2;52;<0.1;20;119.5;2;<0.05;2.2;6.8;2.9;<1.0;12;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;4100;18.7;7.55;87;3.98;1.33;0 - 0.05;0 - 0.05;0.57;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.35;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;18;5;150;3100;0 - 0.1;1300;10;1114;7.55;87;3.98;1.33;1251;7.4;125;1.62;0.428;4303;11.41;521.9;3.446;0.874;5.3862;55.28;4.355;0.656;2.656;3.11;0.318;ISDI;ISDI;ISDI; 
029-L16-2-501P-11-12m;3700;0.6;1.6;140;<0.1;9.8;291.8;8.5;<0.05;<1.0;11;2.6;<1.0;20;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;3800;19.6;7.26;45;18.9;0.619;0 - 0.05;0 - 0.05;0.37;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.08;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;11;7;100;1600;0 - 0.1;610;10;416;7.26;45;18.9;0.619;625;7.21;109;12.6;0.407;0.001;10.89;552.7;1.687;12.35;14.79;119.1;3.425;0.6058;5.456;1.183;0.0257;ISDI;ISDI;ISDI; 
030-L16-2-302P-10-11m;3400;<0.5;<1.0;52;<0.1;2.4;107.9;2.2;<0.05;<1.0;2.8;0.9;<1.0;4;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MPH;0;0;0;0;0;1;0;0;0 - 0.01;2800;19.7;7.44;59;13.6;0.408;0 - 0.05;0 - 0.05;0.3;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;15;4;68;2600;0 - 0.1;1300;10;528;7.44;59;13.6;0.408;635;7.34;126;11.6;0.47;0.001;11.53;507.2;2.248;3.898;5.17;0.001;1.742;0.865;2.989;0.817;1.2378;ISDI;ISDI;ISDI; 
031-L16-2-0302P-17-18m;<1000;0.6;1.4;440;<0.1;23;899.4;2.2;<0.05;<1.0;4.8;2;2.6;8.8;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;SB;0;1;0;0;0;0;0;0;0 - 0.01;6700;19.2;7.5;91;5.72;0.778;0 - 0.05;0 - 0.05;2.3;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.08;0 - 0.05;0 - 0.05;1.2;0 - 0.02;10;4;7;2100;0 - 0.1;1100;10;610;7.5;91;5.72;0.778;447;7.36;53;4.77;0.928;0.001;14.25;547.8;2.936;10.64;10.77;89.22;2.48;0.16;4.1616;0.001;0.001;TN+;TN+;TN+;Selenium cumule (var. L/S)
032-L16-2-SC01-401P-34m;3500;1;<1.0;39;<0.1;1.9;79.6;2.6;<0.05;<1.0;2.4;0.7;<1.0;4.4;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;SB;0;1;0;0;0;0;0;0;0 - 0.01;1100;19.1;7.23;77;5.37;1.56;0 - 0.05;0 - 0.05;1.4;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;13;17;23;0 - 1000;0 - 0.1;390;10;1188;7.23;77;5.37;1.56;1345;7.34;159;2.88;1.45;3088;8.321;547.1;1.923;3.472;4.49;16.63;1.34;0.5773;1.242;2.085;0.001;ISDI;ISDI+;ISDI+;Fluorures cumule  (var. L/S)
033-L16-2-SC01-302P-17M;<1000;0.7;1.3;11;<0.1;6;24.2;1.3;<0.05;<1.0;1.5;0.9;<1.0;3.4;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;SB;0;1;0;0;0;0;0;0;0 - 0.01;6700;19.7;7.08;92;4.17;1.16;0 - 0.05;0.06;0.45;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;0 - 10;7;20;0 - 1000;0 - 0.1;130;10;2520;7.08;92;4.17;1.16;576;7.68;46;2.91;0.676;1776;7.6122;492.3;2.343;2.202;0.001;326.3;2.911;0.75;6.908;0.8503;2.078;ISDI;ISDI;ISDI; 
034-L16-2-SC01-302P-24-25M;2800;<0.5;6.4;32;<0.1;18;86.5;2.6;<0.05;4.3;8.9;2.8;<1.0;13;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;SB;0;1;0;0;0;0;0;0;0 - 0.01;5600;18.8;7.14;96;2.98;0.676;0 - 0.05;0 - 0.05;0.65;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.53;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;16;6;40;3000;0 - 0.1;1700;10;1313;7.14;96;2.98;0.676;1472;7.38;145;1.63;0.78;24030;11.67;490.6;2.961;1.1;2.967;8.964;3.886;0.686;5.742;3.725;0.5297;TN+;ISDI+;TN+;Molybdene (Mo)
035-L16-2-SC01-302P-10M;2700;1.1;<1.0;45;<0.1;0.9;0.001;0.9;<0.05;<1.0;1.1;<0.5;<1.0;2;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;SB;0;1;0;0;0;0;0;0;0 - 0.01;4680;19.5;7.07;124;3.28;0.412;0 - 0.05;0 - 0.05;0.55;0 - 0.001;0 - 0.02;0 - 0.02;0.0004;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;11;4;52;1300;0 - 0.1;380;10;1901;7.07;124;3.28;0.412;1976;7.36;154;1.92;0.693;9713;14.99;480.7;3.667;3.052;5.36;3.509;4.091;0.625;6.031;3.96;2.516;ISDI;ISDI;ISDI; 
036-L16-2-0302P-17-18m;<1000;0.6;1.4;440;<0.1;23;899.4;2.2;<0.05;<1.0;4.8;2;2.6;8.8;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;SB;0;1;0;0;0;0;0;0;0 - 0.01;6700;19.2;7.5;91;5.72;0.778;0 - 0.05;0 - 0.05;2.3;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.08;0 - 0.05;0 - 0.05;1.2;0 - 0.02;10;4;7;2100;0 - 0.1;1100;10;610;7.5;91;5.72;0.778;843;7.63;140;2.05;0.585;3807;0.8144;552.7;0.87;5.127;5.312;650.4;0;0.8815;1.901;0.611;4.353;TN+;TN+;TN+;Selenium cumule (var. L/S)
037-L16-2-0303P-SC019m;13000;1.2;5.1;4.9;0.3;7;24.5;2.8;<0.05;19;6.5;2;<1.0;7.4;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;SB;0;1;0;0;0;0;0;0;0 - 0.01;5500;19.3;7.4;38;9.26;1.48;0 - 0.05;0 - 0.05;0 - 0.1;0.004;0 - 0.02;0 - 0.02;0.001;7.5;0 - 0.05;0 - 0.05;0.05;0 - 0.02;34;14;130;2900;0 - 0.1;1600;10;509;7.4;38;9.26;1.48;1070;7.43;122;5.4;1.63;0.001;12.04;393.3;2.085;0.8849;0.216;0.001;2.99;0.7789;4.359;2.043;1.681;TN+;SEMPIN;TN+;Molybdene (Mo)
